organization,project_name,location,recording_date,longitude,latitude,method,status,observer,species_code,species_common_name,species_class,individual_appearance_order,tag_start_s,vocalization,abundance,species_comments,is_verified
BU,TimeOFDay,H-P10-31-33,2021-05-29 00:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,NONE,NONE,,,,,,,
BU,TimeOFDay,H-P10-31-33,2021-05-29 00:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,NONE,NONE,,,,,,,
BU,TimeOFDay,H-P10-31-33,2021-05-29 00:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,NONE,NONE,,,,,,,
BU,TimeOFDay,H-P10-31-33,2021-05-29 01:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,NONE,NONE,,,,,,,
BU,TimeOFDay,H-P10-31-33,2021-05-29 01:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,NONE,NONE,,,,,,,
BU,TimeOFDay,H-P10-31-33,2021-05-29 01:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,NONE,NONE,,,,,,,
BU,TimeOFDay,H-P10-31-33,2021-05-29 02:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,NONE,NONE,,,,,,,
BU,TimeOFDay,H-P10-31-33,2021-05-29 02:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,NONE,NONE,,,,,,,
BU,TimeOFDay,H-P10-31-33,2021-05-29 02:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,NONE,NONE,,,,,,,
BU,TimeOFDay,H-P10-31-33,2021-05-29 03:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,NONE,NONE,,,,,,,
BU,TimeOFDay,H-P10-31-33,2021-05-29 03:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,NONE,NONE,,,,,,,
BU,TimeOFDay,H-P10-31-33,2021-05-29 03:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,NONE,NONE,,,,,,,
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,37.54,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,18.36,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,21.93,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,34.55,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,54.91,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,14.86,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,12.66,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,40.90,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,0.71,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,0.34,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,57.83,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,43.24,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,19.83,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,3.25,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,12.23,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,32.75,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,56.08,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,30.55,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,17.41,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,38.69,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,4,21.40,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,4,14.00,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,7.99,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,39.89,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 04:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,24.04,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,46.74,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,50.84,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,22.93,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,36.65,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,53.38,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,0.19,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,41.99,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,57.23,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,32.66,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,8.16,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,1.50,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,9.89,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,26.21,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,45.90,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,6.40,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,19.01,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,38.96,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,55.24,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,12.61,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,16.55,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,37.39,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,50.20,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,4,21.61,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,4,31.50,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,4,59.04,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,52.58,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,36.89,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,0.06,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,12.60,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,24.39,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,45.49,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,56.93,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,9.41,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,21.50,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,42.05,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,49.93,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,35.75,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,17.01,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 05:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,4.55,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,33.00,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,44.79,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,1.60,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,10.56,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,3.30,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,48.09,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,29.14,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,46.93,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,12.13,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,59.18,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,20.51,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,27.60,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,39.91,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,31.99,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,47.74,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,5.53,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,26.29,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,33.69,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,52.21,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,20.28,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,43.15,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,55.76,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,53.04,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,35.23,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,57.49,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,40.08,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,17.83,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,0.01,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,15.55,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,22.29,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,4.35,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,38.23,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,30.55,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,20.81,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,0.11,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,51.01,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,56.45,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,9.84,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,44.35,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,7.65,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,40.35,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,11.15,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,44.13,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,16.56,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,30.36,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,55.65,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,53.96,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,58.39,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,22.05,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,46.65,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,33.49,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,19.29,Song,1,,false
